@timestamp,@message
2026-01-20 21:44:46.175,"09:44:46 PM [app] INFO: Bootstrapping default cron jobs {""service"":""cron-bootstrap""}"
2026-01-20 21:44:46.174,"09:44:46 PM [startup] INFO: Flood configs loaded from variables {""service"":""sirius""}"
2026-01-20 21:44:46.170,"09:44:46 PM [startup] INFO: Flood events registered {""service"":""sirius""}"
2026-01-20 21:44:46.169,"09:44:46 PM [app] INFO: Registered cron job: delete-old-cron-logs {""service"":""cron-registry""}"
2026-01-20 21:44:46.169,"09:44:46 PM [app] INFO: Registered cron job: process-wmb-batch {""service"":""cron-registry""}"
2026-01-20 21:44:46.169,"09:44:46 PM [app] INFO: Registered cron job: delete-expired-flood-events {""service"":""cron-registry""}"
2026-01-20 21:44:46.169,"09:44:46 PM [app] INFO: Registered cron job: delete-expired-hfe {""service"":""cron-registry""}"
2026-01-20 21:44:46.169,"09:44:46 PM [app] INFO: Registered cron job: sweep-expired-ban-elig {""service"":""cron-registry""}"
2026-01-20 21:44:46.169,"09:44:46 PM [app] INFO: Registered cron job: sync-ban-active-status {""service"":""cron-registry""}"
2026-01-20 21:44:46.169,"09:44:46 PM [startup] INFO: Cron job handlers registered {""service"":""sirius""}"
2026-01-20 21:44:46.169,"09:44:46 PM [app] INFO: Registered flood event: bookmark {""service"":""flood-registry"",""threshold"":1000,""windowSeconds"":360}"
2026-01-20 21:44:46.168,"09:44:46 PM [startup] INFO: Dispatch eligibility system initialized {""service"":""sirius""}"
2026-01-20 21:44:46.168,"09:44:46 PM [app] INFO: Worker ban notifications initialized {""service"":""worker-ban-notifications""}"
2026-01-20 21:44:46.168,"09:44:46 PM [startup] INFO: Worker ban notifications initialized {""service"":""sirius""}"
2026-01-20 21:44:46.168,"09:44:46 PM [app] INFO: Registered cron job: delete-expired-reports {""service"":""cron-registry""}"
2026-01-20 21:44:46.167,"09:44:46 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_hfe {""service"":""dispatch-elig-registry""}"
2026-01-20 21:44:46.167,"09:44:46 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_skill {""service"":""dispatch-elig-registry""}"
2026-01-20 21:44:46.167,"09:44:46 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_status {""service"":""dispatch-elig-registry""}"
2026-01-20 21:44:46.167,"09:44:46 PM [app] INFO: Dispatch eligibility plugins registered {""service"":""dispatch-elig-plugins"",""plugins"":[""dispatch_ban"",""dispatch_dnc"",""dispatch_hfe"",""dispatch_skill"",""dispatch_status""]}"
2026-01-20 21:44:46.166,"09:44:46 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_ban {""service"":""dispatch-elig-registry""}"
2026-01-20 21:44:46.166,"09:44:46 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_dnc {""service"":""dispatch-elig-registry""}"
2026-01-20 21:44:46.165,"09:44:46 PM [startup] INFO: Component cache initialized {""service"":""sirius""}"
2026-01-20 21:44:46.165,"09:44:46 PM [startup] INFO: Component permissions synced {""service"":""sirius""}"
2026-01-20 21:44:46.156,"09:44:46 PM [startup] INFO: Address validation service initialized {""service"":""sirius""}"
2026-01-20 21:44:46.050,"09:44:46 PM [startup] INFO: Permission system initialized with core permissions {""service"":""sirius""}"
2026-01-20 21:44:46.050,"09:44:46 PM [startup] INFO: Access control system initialized {""service"":""sirius""}"
2026-01-20 21:44:46.047,"09:44:46 PM [app] INFO: Registered eligibility plugin: work-status {""service"":""eligibility-plugin-registry""}"
2026-01-20 21:44:46.047,"09:44:46 PM [app] INFO: Registered eligibility plugin: manual {""service"":""eligibility-plugin-registry""}"
